genre,Mean
indian,6.568083333333333
minimal-techno,6.471633333333333
chicago-house,6.427
detroit-techno,6.356033333333333
techno,5.59775
deep-house,5.591033333333334
trance,5.5419833333333335
black-metal,5.531533333333333
progressive-house,5.382616666666666
drum-and-bass,5.360383333333333
breakbeat,5.1977166666666665
pop-film,5.11765
house,5.0441
dubstep,5.000683333333333
ambient,4.976333333333334
psych-rock,4.907483333333333
new-age,4.834733333333333
groove,4.736933333333333
trip-hop,4.712683333333334
edm,4.61995
disco,4.577516666666667
salsa,4.564583333333333
afrobeat,4.5594833333333336
heavy-metal,4.5572333333333335
electronic,4.4961
goth,4.491516666666667
industrial,4.48605
gospel,4.4589
classical,4.35525
sleep,4.341666666666667
